"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"165","cmi14","~~","cmi14","0.862","0.100","0.000","[0.667, 1.057]","0.862***","0.586","0.062","0.000","[0.464, 0.707]","0.586***","Variances.cmi14"
"166","cmi15","~~","cmi15","0.713","0.082","0.000","[0.552, 0.874]","0.713***","0.618","0.063","0.000","[0.496, 0.741]","0.618***","Variances.cmi15"
"167","cmi16","~~","cmi16","0.958","0.110","0.000","[0.742, 1.174]","0.958***","0.633","0.063","0.000","[0.510, 0.756]","0.633***","Variances.cmi16"
"168","cmi17","~~","cmi17","0.956","0.111","0.000","[0.739, 1.173]","0.956***","0.572","0.061","0.000","[0.452, 0.693]","0.572***","Variances.cmi17"
"169","cmi18","~~","cmi18","0.839","0.097","0.000","[0.649, 1.030]","0.839***","0.568","0.061","0.000","[0.448, 0.688]","0.568***","Variances.cmi18"
"170","cmi19","~~","cmi19","0.807","0.093","0.000","[0.625, 0.990]","0.807***","0.608","0.062","0.000","[0.486, 0.730]","0.608***","Variances.cmi19"
"171","cmi20","~~","cmi20","0.689","0.079","0.000","[0.534, 0.845]","0.689***","0.627","0.063","0.000","[0.504, 0.750]","0.627***","Variances.cmi20"
"172","cmi21","~~","cmi21","0.575","0.066","0.000","[0.445, 0.705]","0.575***","0.597","0.062","0.000","[0.475, 0.719]","0.597***","Variances.cmi21"
"173","cmi22","~~","cmi22","0.693","0.080","0.000","[0.536, 0.851]","0.693***","0.545","0.060","0.000","[0.427, 0.664]","0.545***","Variances.cmi22"
"174","cmi23","~~","cmi23","1.084","0.125","0.000","[0.840, 1.328]","1.084***","0.662","0.063","0.000","[0.538, 0.785]","0.662***","Variances.cmi23"
"175","cmi24","~~","cmi24","0.771","0.089","0.000","[0.596, 0.945]","0.771***","0.591","0.062","0.000","[0.469, 0.712]","0.591***","Variances.cmi24"
"176","cmi25","~~","cmi25","0.915","0.106","0.000","[0.708, 1.122]","0.915***","0.584","0.062","0.000","[0.463, 0.705]","0.584***","Variances.cmi25"
"177","cmi26","~~","cmi26","0.889","0.102","0.000","[0.690, 1.089]","0.889***","0.697","0.063","0.000","[0.574, 0.820]","0.697***","Variances.cmi26"
"178","cmi27","~~","cmi27","0.663","0.077","0.000","[0.512, 0.814]","0.663***","0.515","0.059","0.000","[0.400, 0.631]","0.515***","Variances.cmi27"
